Município;State;Municipality; Gross Rol [%] ; Gross Rol [%] ;Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1 ;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2 ;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Matupa - MT;mato grosso;Matupa; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Nova Brasilandia - MT;mato grosso;Nova Brasilandia; 4,88 ;4,88%;10-15 / 12-15;5;0; 256 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 976,03 ; R$ 714,29 
Nova Canaa Do Norte - MT;mato grosso;Nova Canaa Do Norte; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Nova Ubirata - MT;mato grosso;Nova Ubirata; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Nova Xavantina - MT;mato grosso;Nova Xavantina; 4,88 ;4,88%;10-15 / 12-15;5;0; 328 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 761,60 ; R$ 714,29 
Paranatinga - MT;mato grosso;Paranatinga; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Porto Alegre Do Norte - MT;mato grosso;Porto Alegre Do Norte; 4,88 ;4,88%;10-15 / 12-15;5;0; 329 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 759,60 ; R$ 714,29 
Primavera Do Leste - MT;mato grosso;Primavera Do Leste; 4,88 ;4,88%;10-15 / 12-15;5;0; 300 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 833,28 ; R$ 714,29 
Ribeirao Cascalheira - MT;mato grosso;Ribeirao Cascalheira; 4,88 ;4,88%;10-15 / 12-15;5;0; 336 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 743,13 ; R$ 714,29 
Rondonopolis - MT;mato grosso;Rondonopolis; 4,88 ;4,88%;10-15 / 12-15;5;0; 251 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 997,77 ; R$ 714,29 
Santa Carmem - MT;mato grosso;Santa Carmem; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Santa Cruz Do Xingu - MT;mato grosso;Santa Cruz Do Xingu; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Sao Felix Do Araguaia - MT;mato grosso;Sao Felix Do Araguaia; 4,88 ;4,88%;10-15 / 12-15;5;0; 336 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 744,86 ; R$ 714,29 
Sao Jose Do Xingu - MT;mato grosso;Sao Jose Do Xingu; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Sinop - MT;mato grosso;Sinop; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Sorriso - MT;mato grosso;Sorriso; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Tabapora - MT;mato grosso;Tabapora; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Vera - MT;mato grosso;Vera; 4,88 ;4,88%;10-15 / 12-15;5;0; 350 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 714,29 ; R$ 714,29 
Vila Rica - MT;mato grosso;Vila Rica; 4,88 ;4,88%;10-15 / 12-15;5;0; 340 ;12-15 / 02-15;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 24.375,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 734,23 ; R$ 714,29 
Agua Clara - MS;mato grosso do sul;Agua Clara; 7,65 ;7,65%;11-01 / 01-01;5;0; 238 ;01-01 / 03-01;5;0; 298 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.050,52 ; R$ 839,88 
Amambai - MS;mato grosso do sul;Amambai; 7,65 ;7,65%;11-01 / 01-01;5;0; 174 ;01-01 / 03-01;5;0; 219 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.433,98 ; R$ 1.143,28 
Anaurilandia - MS;mato grosso do sul;Anaurilandia; 7,65 ;7,65%;11-01 / 01-01;5;0; 146 ;01-01 / 03-01;5;0; 210 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.711,32 ; R$ 1.191,96 
Angelica - MS;mato grosso do sul;Angelica; 7,65 ;7,65%;11-01 / 01-01;5;0; 186 ;01-01 / 03-01;5;0; 203 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.344,75 ; R$ 1.228,80 
Antonio Joao - MS;mato grosso do sul;Antonio Joao; 7,65 ;7,65%;11-01 / 01-01;5;0; 205 ;01-01 / 03-01;5;0; 214 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.221,71 ; R$ 1.166,03 
Aral Moreira - MS;mato grosso do sul;Aral Moreira; 7,65 ;7,65%;11-01 / 01-01;5;0; 193 ;01-01 / 03-01;5;0; 227 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.292,35 ; R$ 1.099,69 
Bandeirantes - MS;mato grosso do sul;Bandeirantes; 7,65 ;7,65%;11-01 / 01-01;5;0; 258 ;01-01 / 03-01;5;0; 291 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 970,49 ; R$ 857,73 
Bataguassu - MS;mato grosso do sul;Bataguassu; 7,65 ;7,65%;11-01 / 01-01;5;0; 163 ;01-01 / 03-01;5;0; 211 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.537,46 ; R$ 1.185,48 
Bataypora - MS;mato grosso do sul;Bataypora; 7,65 ;7,65%;11-01 / 01-01;5;0; 129 ;01-01 / 03-01;5;0; 204 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.939,68 ; R$ 1.227,79 
Bela Vista - MS;mato grosso do sul;Bela Vista; 7,65 ;7,65%;11-01 / 01-01;5;0; 192 ;01-01 / 03-01;5;0; 198 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.303,99 ; R$ 1.264,42 
Bonito - MS;mato grosso do sul;Bonito; 7,65 ;7,65%;11-01 / 01-01;5;0; 235 ;01-01 / 03-01;5;0; 243 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.062,77 ; R$ 1.027,22 
Caarapo - MS;mato grosso do sul;Caarapo; 7,65 ;7,65%;11-01 / 01-01;5;0; 181 ;01-01 / 03-01;5;0; 216 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.383,96 ; R$ 1.156,59 
Camapua - MS;mato grosso do sul;Camapua; 7,65 ;7,65%;11-01 / 01-01;5;0; 261 ;01-01 / 03-01;5;0; 319 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 957,26 ; R$ 783,67 
Campo Grande - MS;mato grosso do sul;Campo Grande; 7,65 ;7,65%;11-01 / 01-01;5;0; 239 ;01-01 / 03-01;5;0; 268 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.047,13 ; R$ 931,87 
Caracol - MS;mato grosso do sul;Caracol; 7,65 ;7,65%;11-01 / 01-01;5;0; 181 ;01-01 / 03-01;5;0; 197 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.383,20 ; R$ 1.266,99 
Coronel Sapucaia - MS;mato grosso do sul;Coronel Sapucaia; 7,65 ;7,65%;11-01 / 01-01;5;0; 200 ;01-01 / 03-01;5;0; 214 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.252,16 ; R$ 1.168,82 
Corumba - MS;mato grosso do sul;Corumba; 7,65 ;7,65%;11-01 / 01-01;5;0; 189 ;01-01 / 03-01;5;0; 231 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.321,30 ; R$ 1.080,21 
Costa Rica - MS;mato grosso do sul;Costa Rica; 7,65 ;7,65%;11-01 / 01-01;5;0; 291 ;01-01 / 03-01;5;0; 350 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 860,45 ; R$ 714,29 
Deodapolis - MS;mato grosso do sul;Deodapolis; 7,65 ;7,65%;11-01 / 01-01;5;0; 202 ;01-01 / 03-01;5;0; 203 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.240,57 ; R$ 1.230,07 
Douradina - MS;mato grosso do sul;Douradina; 7,65 ;7,65%;11-01 / 01-01;5;0; 193 ;01-01 / 03-01;5;0; 199 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.295,92 ; R$ 1.255,59 
Dourados - MS;mato grosso do sul;Dourados; 7,65 ;7,65%;11-01 / 01-01;5;0; 202 ;01-01 / 03-01;5;0; 203 ; 100,00 ; R$ 5.000,00 ; R$ 38.250,00 ; R$ 500.000,00 ; R$ 250.000,00 ; R$ 250.000,00 ; R$ 1.240,39 ; R$ 1.230,26 
